,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
49,PT,HLX,ALB-00003,True,"Avenida 5 de Outubro, 77",Albergaria-a-Velha,PRT,4460-841,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:04:11Z,40.7131949,-8.482487,PT*HLX*ALB*00003*02,ALB-00003-02,AVAILABLE,2021-05-07T07:02:02Z,ALB-00003-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
50,PT,GLP,ALB-90002,True,Rua Dr. Flausino Correia 2,Albergaria-a-Velha,PRT,3850-054,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:03:27Z,40.686902,-8.480335,PT*GLP*ALB*90002*2,ALB-90002-2,AVAILABLE,2021-05-07T02:55:16Z,ALB-90002-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
51,PT,PRI,ALD-00002,True,Av. da Fronteira,Almeida,PRT,6355-270,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-08T00:05:08Z,40.608711,-6.82825,PT*PRI*ALD*00002*2,ALD-00002-2,AVAILABLE,2021-05-07T16:29:31Z,ALD-00002-2-1,IEC_62196_T2_COMBO,CABLE,DC,500,125,50000
52,PT,KLC,ALJ-90001,True,Avenida Dr. Francisco Sá Carneiro,Alijó,PRT,5070-013,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:03:16Z,41.275881,-7.477031,PT*KLC*ALJ*90001*2,ALJ-90001-2,AVAILABLE,2021-05-07T00:58:44Z,ALJ-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
53,PT,MOB,ALM-00004,True,Rua Capitão Leitão 47,Almada,PRT,2800-135,PARKING_LOT,Europe/Lisbon,BTN,2020-10-05T21:50:44Z,38.681548,-9.159578,PT*MOB*ALM*00004*02,ALM-00004-02,UNKNOWN,2019-08-23T06:50:08Z,ALM-00004-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
54,PT,MOB,ALM-00005,True,Rua Leonel Duarte Ferreira 21,Almada,PRT,2800-138,PARKING_LOT,Europe/Lisbon,BTN,2020-10-05T21:51:22Z,38.681372,-9.160646,PT*MOB*ALM*00005*2,ALM-00005-2,UNKNOWN,2019-07-31T14:53:52Z,ALM-00005-2-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
55,PT,MOB,ALM-00006,True,Rua Frederico Pinheiro 2,Almada,PRT,2800-689,PARKING_LOT,Europe/Lisbon,BTN,2021-01-12T14:33:16Z,38.675459,-9.166247,PT*MOB*ALM*00006*02,ALM-00006-02,UNKNOWN,2021-01-12T01:04:09Z,ALM-00006-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
56,PT,MOB,ALM-00007,True,Avenida Bento Gonçalves,Almada,PRT,2805-099,PARKING_LOT,Europe/Lisbon,BTN,2020-10-05T21:52:10Z,38.669353,-9.165517,PT*MOB*ALM*00007*02,ALM-00007-02,UNKNOWN,2019-08-20T17:54:18Z,ALM-00007-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
57,PT,MOB,ALM-00008,True,Rua Dom Manuel I 2C,Almada,PRT,2810-259,PARKING_LOT,Europe/Lisbon,BTN,2020-10-05T21:53:11Z,38.654575,-9.152943,PT*MOB*ALM*00008*02,ALM-00008-02,UNKNOWN,2020-01-06T15:45:51Z,ALM-00008-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
58,PT,HRZ,ALM-00011,True,Estr. Q.ta da Carcereira,Almada,PRT,2820-246,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:04:45Z,38.631659,-9.177034,PT*HRZ*ALM*00011*03,ALM-00011-03,AVAILABLE,2021-05-07T21:10:47Z,ALM-00011-03-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,63,43000
