ChargingStation,Unit,Value,MinLevelValue,MaxLevelValue
BRR-00007,min,0.05,0,NA
BTC-90001,min,0.025,0,NA
BTL-00002,min,0,0,NA
BTL-90001,min,0.031,0,NA
BTL-90003,min,0.02,0,NA
CBA-90001,min,0.02,0,NA
CBC-90010,min,0.02,0,NA
CBR-00007,min,0,0,NA
CBR-00009,min,0,0,NA
CBR-00010,kWh,0.156,0,NA
CBR-00011,kWh,0.12,0,NA
CBR-00012,kWh,0.1,0,NA
CBR-00013,kWh,0.1,0,NA
CBR-00014,min,0.01,0,NA
CBR-00025,charge,0.1,0,NA
CBR-00025,min,0.025,0,NA
CBR-00026,kWh,0.07,0,NA
CBR-00027,kWh,0.07,0,NA
CBR-00028,kWh,0.07,0,NA
CBR-00029,kWh,0.07,0,NA
CBR-00030,kWh,0.07,0,NA
CBR-00031,kWh,0.07,0,NA
CBR-00032,min,0.035,0,NA
CBR-00033,min,0.102,0,30
CBR-00033,min,0.163,30,NA
CBR-00034,min,0.015,0,NA
CBR-00035,min,0.015,0,NA
CBR-00036,min,0.05,0,NA
CBR-00037,min,0,0,NA
CBR-00038,min,0.04,0,NA
CBR-90001,min,0.006,0,NA
CBR-90002,min,0.011,0,NA
CBR-90003,min,0.0037,0,NA
CBR-90004,min,0.009,0,NA
CBR-90005,min,0.006,0,NA
CBR-90006,min,0.0046,0,NA
CBR-90008,min,0.0037,0,NA
CBT-00001,min,0,0,NA
CCH-90001,min,0.02,0,NA
CDN-90001,min,0.02,0,NA
CDR-90001,min,0.029,0,NA
CDV-90001,min,0.029,0,NA
CHM-90001,min,0.029,0,NA
CHT-00001,min,0.074,0,NA
CHV-00002,min,0.035,0,NA
CHV-00003,min,0.08,0,NA
CLB-00004,kWh,0.06,0,NA
CLB-00005,kWh,0.06,0,NA
CLB-00006,kWh,0.06,0,NA
CLB-00007,min,0.09,0,NA
CLB-00008,min,0.04,0,NA
CLB-90003,min,0.02,0,NA
CLD-00001,min,0,0,NA
CLD-00002,min,0,0,NA
CLD-00003,min,0,0,NA
CLD-00004,min,0,0,NA
CLD-00005,min,0,0,NA
CLD-00006,min,0,0,NA
CLD-00007,min,0.01,0,NA
CLD-00009,min,0.035,0,NA
CLD-00010,min,0.035,0,NA
CLD-00011,min,0.1,0,NA
CLD-00012,min,0.03,0,NA
CLD-90008,min,0.025,0,NA
CLT-00003,min,0.04,0,NA
CLT-00004,min,0.03,0,NA
CLT-00005,min,0.04,0,NA
CLT-00006,min,0.04,0,NA
CMCS-00001,kWh,0.1,0,NA
CML-00059,min,0.03,0,NA
CMR-90001,min,0.02,0,NA
CNS-90001,min,0.02,0,NA
CNT-00002,min,0.1,0,NA
CNT-00005,min,0.03,0,NA
CNT-00006,min,0.03,0,NA
CNT-90003,kWh,0.1,0,NA
CPR-90001,kWh,0.1,0,NA
CPV-90001,kWh,0.1,0,NA
CRS-90001,min,0.025,0,NA
CRT-00002,min,0.015,0,NA
CRT-00003,min,0.015,0,NA
CRT-90001,min,0.031,0,NA
CRZ-90001,min,0.025,0,NA
CSC-00001,min,0,0,NA
CSC-00005,min,0,0,NA
CSC-00011,min,0,0,NA
CSC-00015,min,0.051,0,NA
CSC-00016,charge,0.5,0,NA
CSC-00016,min,0.03,0,NA
CSC-00018,min,0.08,0,NA
CSC-00019,min,0.1,0,NA
CSC-00021,min,0.01,0,NA
CSC-00022,min,0.025,0,NA
CSC-00023,min,0.025,0,NA
CSC-00026,min,0,0,NA
CSC-00027,min,0.08,0,NA
CSC-00040,min,0,0,NA
CSC-00041,min,0,0,NA
CSC-00042,min,0.05,0,NA
CSC-00043,charge,0.1,0,NA
CSC-00043,min,0.03,0,NA
CSC-00044,charge,0.1,0,NA
CSC-00044,min,0.03,0,NA
CSC-00045,min,0.015,0,NA
CSC-00046,min,0.105,0,NA
CSC-00047,min,0.105,0,NA
CSC-00048,min,0.035,0,NA
CSC-00049,min,0.03,0,NA
CSC-00050,min,0.03,0,NA
CSC-00051,min,0.03,0,NA
CSC-00052,min,0.03,0,NA
CSC-00053,min,0.03,0,NA
CSC-00054,min,0.03,0,NA
CSC-00055,charge,0.1,0,NA
CSC-00055,min,0.03,0,NA
