,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
446,PT,PRP,FND-00003,True,A23 km 18.5 (Sentido Oeste/Este),Fundão,PRT,6230-022,ALONG_MOTORWAY,Europe/Lisbon,MT,2021-05-11T14:15:06Z,40.190859,-7.486644,PT*PRP*FND*00003*03,FND-00003-03,AVAILABLE,2021-05-11T14:09:00Z,FND-00003-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
447,PT,REP,FND-00004,True,Rua Cidade Da Covilhã,Fundão,PRT,6230-246,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:02:45Z,40.142455,-7.497335,PT*REP*FND*00004*03,FND-00004-03,OUTOFORDER,2021-05-11T13:50:14Z,FND-00004-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
448,PT,GLP,FND-90001,True,Largo da Estação 1,Fundão,PRT,6230-311,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:13:38Z,40.1414305,-7.4967727,PT*GLP*FND*90001*02,FND-90001-02,AVAILABLE,2021-05-11T11:21:31Z,FND-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
449,PT,KLC,FTR-90001,True,Largo Marquês da Fronteira,Fronteira,PRT,7460-136,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:00Z,39.0538628,-7.6452465,PT*KLC*FTR*90001*2,FTR-90001-2,AVAILABLE,2021-05-11T03:49:50Z,FTR-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
450,PT,EMA,FUN-00002,True,Rua Artur de Sousa Pinga,Funchal,PRT,9060-396,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:15:01Z,32.64723,-16.903893,PT*EMA*FUN*00002*03,FUN-00002-03,CHARGING,2021-05-11T12:19:34Z,FUN-00002-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
451,PT,EMA,FUN-00003,True,Avenida Sá Carneiro 15,Funchal,PRT,9000-017,PARKING_LOT,Europe/Lisbon,BTN,2021-05-11T14:15:21Z,32.645245,-16.912966,PT*EMA*FUN*00003*2,FUN-00003-2,CHARGING,2021-05-11T12:52:57Z,FUN-00003-2-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
452,PT,MLT,FUN-00004,True,Rua Imperatriz D Amelia,Funchal,PRT,9004-513,PARKING_LOT,Europe/Lisbon,MT,2020-12-13T22:49:54Z,32.643804,-16.91723,PT*MLT*FUN*00004*1,FUN-00004-1,UNKNOWN,2020-02-01T10:55:22Z,FUN-00004-1-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,7200
453,PT,MLT,FUN-00005,True,Av. Sá Carneiro,Funchal,PRT,9000-017,PARKING_LOT,Europe/Lisbon,MT,2020-12-13T22:50:06Z,32.643973,-16.914173,PT*MLT*FUN*00005*1,FUN-00005-1,UNKNOWN,2019-09-06T11:04:06Z,FUN-00005-1-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
454,PT,FAC,FUN-00006,True,Rua Nova do Vale da Ajuda,Funchal,PRT,9000-155,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:59Z,32.63618,-16.94237,PT*FAC*FUN*00006*02,FUN-00006-02,AVAILABLE,2021-05-11T06:54:16Z,FUN-00006-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
455,PT,FAC,FUN-00007,True,Caminho do Poço Barral,Funchal,PRT,9000-155,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:15:30Z,32.656385,-16.943199,PT*FAC*FUN*00007*02,FUN-00007-02,AVAILABLE,2021-05-09T14:04:05Z,FUN-00007-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
